Ascended        飞升者
Brackern        壳人族
Celestial       星灵
Loners          浪人
Demigod         半神
Human           人类
Golem           巨像
Minotaur        牛头怪
Molediver       鼹鼠潜水员
Pengu           企鹅
Spirit          灵魂生物
Troll           巨魔
Vastaya         瓦斯塔亚
Voidborn        虚空之子
Watcher         监视者
Yeti            雪人
Yordle          约德尔人
Undead          亡灵
darkin          暗裔
odyssey         奥德赛
Noxian                      诺克萨斯
Freljord                    弗雷尔卓德
Ionian                      艾欧尼亚
Solari                      烈阳教派
Shurima                     恕瑞玛
Lunari                      皎月教派
Aspect                      天界星灵
ShadowIsle                  暗影岛
Female                      女性
Demon                       恶魔
Demons                      恶魔
Champs                      英雄
Piltover                    皮尔特沃夫
Devout                      信徒(虔诚)？？
Barron                      男爵
Ninjas                      忍者
Demacians                   德玛西亚人
ForeignDemacian             除了德玛西亚的人
Aquatic                     水下生物?
BlackRose                   黑色玫瑰(诺克萨斯邪恶组织)
Brambleback                 绯红印记树怪
CloudDrake                  云端亚龙
ElderDrake                  远古巨龙
Gromp                       魔沼蛙
InfernalDrake               炼狱亚龙
Krugs                       远古石甲虫
MountainDrake               山脉亚龙
OceanDrake                  海洋亚龙
Raptors                     深红锋喙鸟
RiftHerald                  峡谷先锋
Sentinel                    苍蓝雕纹魔像
Wolves                      大型暗影狼
Vasataya                    瓦斯塔亚
Machines                    机器人
HandsomeDudes               帅哥
Goddess                     女神
Magic                       魔法
Pirate                      海盗
CrystalScar                 水晶之痕
SummonersRift               召唤师峡谷
HowlingAbyss                嚎哭深渊
TwistedTreeline             扭曲丛林
