Valdimir                    Vladimir
Wukong                      MonkeyKing
ChoGath                     Chogath
Worldbreakers               Worldbreaker
Soccer                      SoccerCup
Snowdown                    SnowdownShowdown
VChaos                      VersusChaos
OfTheLotus                  OrderoftheLotus
Mafia                       CrimeCity
GodKings                    BattleoftheGodKings
DragonSlayer                DragonWorld
BilgewaterBT                Bilgewater:BurningTides
BilgewaterDW                Bilgewater:CurseoftheDrowned
BattleBoss                  BattleBosses
LeBlanc                     Leblanc
Shuriman                    Shurima
StarGuardianSkin            星之守护者系列皮肤
Dragonslayermasterskins     驯龙大师系列皮肤
Trydamere                   Tryndamere
AstroTeemo                  AstronautTeemo
BlackStarVarus              DarkStarVarus
BantamTrap                  NoxiousTrap
Democia                     demacia
LuluSin06                   LuluSkin06
