OFF                         关
ON                          开
Ult                         终极技能
Self                        自己
Move                        行动
Joke                        嘲笑
Kill                        击杀
Move                        移动
Void                        虚空之地
cast                        释放
Cast                        释放
Idle                        空闲时
Ward                        守卫(眼)
hit                         击中
Hit                         击中
Ace                         团灭
Ally                        盟友
ally                        盟友
Long                        远距离
loop                        循环
Loop                        循环
Male                        男性
Helm                        自适应头盔
Dash                        冲刺
Got                         获得
2nd                         第二次
Gods                        诸神
Mundo                       蒙多
Zaun                        祖安
miss                        未命中
Order                       指令
Targon                      巨神峰
Dragon                      巨龙
Camp                        营
Big                         大形态
big                         大形态
joke                        笑话
long                        长
short                       短
base                        基础
fail                        失败
run                         跑动
win                         赢
lose                        输
End                         结束
With                        和
Chat                        聊天
Receive                     收到
Near                        近距离
Far                         远距离
Leap                        跃迁(跳跃)
turn                        打开
Miss                        未命中
Toss                        抛出
Ping                        标记信号
Me                          自己
Bear                        熊
Max                         最大
Slow                        缓慢
Heal                        治疗
Gun                         带枪的
Fast                        快速的
VFX                         视觉特效
SFX                         技能效果
VO                          音频
Death               		死亡
Soul                        灵魂
Souls                       多个灵魂
Skin                        皮肤
Echo                        回声
Goal                        进球
One                         1
Two                         2
Three                       3
Exit                        退出
Enter                       进入
Tap                         敲击
Jarvan                      嘉文四世
Stun                        眩晕
Use                         使用
Grass                       草丛
Rock                        岩石
Water                       水
Storm                       风暴
Ice                         冰
Fire                        火
Dark                        暗
Chaos                       恐惧
Axe                         斧头帮(用斧子的人)
Mark                        标记
Dragon                      龙
Eat                         吃
Trap                        陷阱
self                        自己
Ready                       准备
Summoner                    召唤师
Dogs                        狗
Minon                       小兵
